"date","no2","ozone","pm25","so2"
"2021-02-06",19.1,NA,4.2,1.5
"2021-02-07",28.7,NA,9,3.1
"2021-02-08",51.2,NA,34.6,5.1
"2021-02-09",49.3,NA,16.8,4.6
"2021-02-10",46,NA,15.6,3.2
"2021-02-11",39.5,NA,13.1,2
"2021-02-12",36,NA,9.8,2.1
"2021-02-13",24.9,NA,11,1.9
"2021-02-14",17.6,NA,9,1.9
"2021-02-15",22.6,NA,3.3,1.7
"2021-02-16",41.7,NA,6.4,2.5
"2021-02-17",52,NA,27.9,10.4
"2021-02-18",52.1,NA,54.5,8.3
"2021-02-19",38.9,NA,35.2,2.4
"2021-02-20",60.3,NA,39.9,2.6
"2021-02-21",69.1,NA,NA,2.5
"2021-02-22",27.1,NA,NA,1.9
"2021-02-23",49.1,NA,NA,2.2
"2021-02-24",47.9,NA,NA,3.4
"2021-02-25",53.8,NA,NA,4.3
"2021-02-26",58.9,NA,NA,2.4
"2021-02-27",39,NA,NA,2.3
"2021-02-28",34.4,NA,NA,2
"2021-03-01",48.1,0.039,NA,2.9
"2021-03-02",60.2,0.034,NA,3.7
"2021-03-03",26.2,0.041,NA,3.2
"2021-03-04",33.8,0.036,NA,1.8
"2021-03-05",47.1,0.041,NA,4.3
"2021-03-06",57.4,0.038,NA,4.2
"2021-03-07",50.2,0.039,NA,3.9
"2021-03-08",57.8,0.047,NA,3.1
"2021-03-09",51.9,0.051,NA,6
"2021-03-10",14.6,0.041,NA,2.1
"2021-03-11",15.7,0.038,NA,1.9
"2021-03-12",31.9,0.033,NA,3.1
"2021-03-13",46.7,0.044,NA,3.4
"2021-03-14",40.9,0.04,NA,2.6
"2021-03-15",19.1,0.035,NA,5.3
"2021-03-16",24.3,0.031,NA,2.2
"2021-03-17",24.3,0.032,NA,3
"2021-03-18",9.9,0.036,NA,1.9
"2021-03-19",39.1,0.036,NA,2
"2021-03-20",50.6,0.044,NA,5.9
"2021-03-21",49,0.048,NA,3
"2021-03-22",48.4,0.043,12.9,3.4
"2021-03-23",51,0.029,22.7,3.2
"2021-03-24",21.5,0.031,5.4,2.2
"2021-03-25",18.7,0.027,8.3,2.5
"2021-03-26",32.1,0.026,15,4.1
"2021-03-27",33.1,0.039,18.8,4.9
"2021-03-28",23.6,0.041,4.4,2.2
"2021-03-29",39.1,0.042,8.4,3
"2021-03-30",14.2,0.049,8.6,2.8
"2021-03-31",9.2,0.036,4.6,2.4
"2021-04-01",24.3,0.041,5.3,2.7
"2021-04-02",45,0.042,15.4,4.4
"2021-04-03",50.7,0.057,65.8,2.9
"2021-04-04",53,0.061,68,4.1
"2021-04-05",37.3,0.048,24.7,2.4
"2021-04-06",27.4,0.05,14.9,2.5
"2021-04-07",25.6,0.04,11.4,2.4
"2021-04-08",18.9,0.029,7.5,2.4
"2021-04-09",18.5,0.034,5.7,2.3
"2021-04-10",26.7,0.029,14.4,2.9
"2021-04-11",33.5,0.029,9.9,2.7
"2021-04-12",17.6,0.043,7.6,2.2
"2021-04-13",26.2,0.042,5.1,2.1
"2021-04-14",19,0.031,7.3,2.1
"2021-04-15",33.2,0.033,5.7,2.4
"2021-04-16",28.7,0.029,6.6,2.3
"2021-04-17",40.4,0.041,12.5,2.2
"2021-04-18",41.3,0.048,17.8,4.2
"2021-04-19",16.8,0.033,8.6,2.2
"2021-04-20",20.5,0.039,3.2,2.1
"2021-04-21",43.1,0.042,15.2,2.1
"2021-04-22",40.3,0.052,20.4,2.8
"2021-04-23",27.9,0.051,12.9,2.9
"2021-04-24",25.4,0.037,19.1,2.7
"2021-04-25",9.6,0.036,1.9,2
"2021-04-26",28.9,0.054,6.2,3.3
"2021-04-27",18.8,0.056,9,2.9
"2021-04-28",18.1,0.034,8.5,2.2
"2021-04-29",26.5,0.032,12.1,2.7
"2021-04-30",33.6,0.034,6.8,3.6
"2021-05-01",33,0.058,9.7,3.7
"2021-05-02",12.8,0.046,5.4,2.9
"2021-05-03",19.7,0.037,11.7,2.2
"2021-05-04",24.1,0.026,4,2.2
"2021-05-05",27,0.035,3.7,4.8
"2021-05-06",40.7,0.042,19.8,2.5
"2021-05-07",42.4,0.045,5.9,2.4
"2021-05-08",28.5,0.033,3,2.8
"2021-05-09",25.3,0.039,2.9,2.5
"2021-05-10",30,0.036,5.2,2.6
"2021-05-11",32.5,0.034,3,3.3
"2021-05-12",37,0.036,7.5,3.6
"2021-05-13",46.7,0.044,10.7,4.9
"2021-05-14",50.7,0.055,14.9,5.8
"2021-05-15",48.3,0.038,23.1,3.2
"2021-05-16",31.2,0.058,11.8,8.2
"2021-05-17",41.6,0.048,17.9,3
"2021-05-18",21.7,0.046,19.1,2.6
"2021-05-19",19.4,0.036,11,2.2
"2021-05-20",30.1,0.044,15,2.3
"2021-05-21",28.8,0.054,10.5,2.5
"2021-05-22",36.4,0.062,12.1,3
"2021-05-23",12.9,0.037,5.3,2.3
"2021-05-24",24.4,0.066,16.9,3.1
"2021-05-25",24.4,0.048,14.4,3.1
"2021-05-26",21.4,0.049,3.4,2.7
"2021-05-27",8.4,0.035,37.3,2.2
"2021-05-28",9.2,0.038,1.2,2
"2021-05-29",23.8,0.041,6.2,2.2
"2021-05-30",28.2,0.048,27,9.7
"2021-05-31",35.3,0.055,20.2,4.5
"2021-06-01",35.6,0.068,23.7,8.1
"2021-06-02",46.2,0.063,26.9,6.5
"2021-06-03",43.7,0.075,28.1,4.6
"2021-06-04",23.8,0.069,5.1,2.9
"2021-06-05",21.9,0.061,12.1,2.7
"2021-06-06",14.3,0.061,67,3.2
"2021-06-07",18.6,0.022,57.8,2.4
"2021-06-08",36.4,0.063,31,3.6
"2021-06-09",27,0.053,44.2,4.1
"2021-06-10",23.5,0.053,22.6,3.9
"2021-06-11",36.1,0.076,19.8,3.4
"2021-06-12",24,0.068,16.8,11.9
"2021-06-13",34.1,0.055,10.1,3.8
"2021-06-14",17.1,0.061,11,3.1
"2021-06-15",27.5,0.032,19.2,3.5
"2021-06-16",11.8,0.044,48.1,2.7
"2021-06-17",37.6,0.068,20.3,3.1
"2021-06-18",29.3,0.071,22.3,3.3
"2021-06-19",49.4,0.07,21.7,3
"2021-06-20",18.5,0.056,14.8,6.6
"2021-06-21",8.2,0.043,1.8,3.2
"2021-06-22",26.1,0.048,11.9,2.7
"2021-06-23",13,0.053,10.9,3.1
"2021-06-24",17.1,0.042,15.8,3.1
"2021-06-25",27.3,0.035,17.5,2.5
"2021-06-26",12.9,0.037,6.5,2.5
"2021-06-27",9.2,0.045,4.5,2.6
"2021-06-28",26,0.032,16.1,3.8
"2021-06-29",22.5,0.043,14.1,2.6
"2021-06-30",36.7,0.047,15.9,2.8
"2021-07-01",11.3,0.042,7.8,2.4
"2021-07-02",17.5,0.027,9.7,2.5
"2021-07-03",18.1,0.05,20.5,2.9
"2021-07-04",10.1,0.056,182.3,7.3
"2021-07-05",8.5,0.049,37.4,3.8
"2021-07-06",24.7,0.058,16.4,3.4
"2021-07-07",27.7,0.056,20.3,3.3
"2021-07-08",11.5,0.022,7.8,2.9
"2021-07-09",17.6,0.031,3.3,2.8
"2021-07-10",14.1,0.036,8.3,3.9
"2021-07-11",6.5,0.036,7.8,2.6
"2021-07-12",9.8,0.038,11.7,4.3
"2021-07-13",24.6,0.045,15.2,2.8
"2021-07-14",22.9,0.049,8.5,2.7
"2021-07-15",11.6,0.047,5.6,2.8
"2021-07-16",9.9,0.046,11.2,2.6
"2021-07-17",6.8,0.045,9.5,2.9
"2021-07-18",9.6,0.049,8.6,4.2
"2021-07-19",32.4,0.051,15.8,3.7
"2021-07-20",30.5,0.071,32.4,3.5
"2021-07-21",10.4,0.038,24.4,2.6
"2021-07-22",30,0.073,29.8,9.1
"2021-07-23",19.1,0.068,37,6.8
"2021-07-24",16.4,0.053,34.1,0.8
"2021-07-25",27.5,0.06,15.4,1.8
"2021-07-26",27,0.063,33,3.3
"2021-07-27",32.4,0.075,15.5,1.4
"2021-07-28",34,0.063,16,1.3
"2021-07-29",12.4,0.059,13.6,0.6
"2021-07-30",7.2,0.034,7.6,0.4
"2021-07-31",19.4,0.053,13.7,1.1
"2021-08-01",8.6,0.044,32.3,0.4
"2021-08-02",26,0.043,14.7,1.7
"2021-08-03",32.8,0.071,12.2,2.5
"2021-08-04",56.6,0.058,30.2,2.3
"2021-08-05",53.3,0.062,34.8,1.3
"2021-08-06",21.9,0.063,17.4,1
"2021-08-07",36.5,0.065,21.8,0.8
"2021-08-08",16.7,0.047,21.5,0.9
"2021-08-09",17.3,0.041,8.7,0.6
"2021-08-10",40.8,0.058,15.3,0.7
"2021-08-11",23.5,0.051,10.3,0.7
"2021-08-12",24.8,0.043,9.8,1.1
"2021-08-13",41.5,0.045,5.1,1.2
"2021-08-14",21.5,0.046,8.2,0.7
"2021-08-15",35.9,0.054,14.4,4.7
"2021-08-16",34.4,0.052,37.5,7.6
"2021-08-17",37.4,0.052,29.9,2.7
"2021-08-18",37.9,0.048,15.6,3.9
"2021-08-19",35.6,0.045,18.4,1.6
"2021-08-20",34.6,0.073,22,7.9
"2021-08-21",31.8,0.047,17.2,0.8
"2021-08-22",10.5,0.043,2.8,0.6
"2021-08-23",34.3,0.062,28.7,1.2
"2021-08-24",25.1,0.06,17.2,1.4
"2021-08-25",25.1,0.094,15.4,0.7
"2021-08-26",30.3,0.071,10.7,4
"2021-08-27",28.4,0.067,11.7,0.8
"2021-08-28",13,0.058,16.6,0.8
"2021-08-29",14.5,0.055,12.1,0.7
"2021-08-30",32.5,0.066,13,1.5
"2021-08-31",43.6,0.056,27.3,4.5
"2021-09-01",15.1,0.041,10.3,0.8
"2021-09-02",32.2,0.041,37.2,2.2
"2021-09-03",41.2,0.039,16,8.7
"2021-09-04",17.5,0.036,18.6,1.2
"2021-09-05",12.2,0.05,9.9,1.3
"2021-09-06",25.3,0.052,12.1,2.4
"2021-09-07",29.5,0.054,16.4,1
"2021-09-08",22.8,0.042,8.9,3.1
"2021-09-09",35.2,0.04,8.9,2.7
"2021-09-10",34.8,0.051,13.9,1.2
"2021-09-11",23.7,0.06,18.3,1.2
"2021-09-12",12.5,0.055,20,1.1
"2021-09-13",32.6,0.08,22.4,1.3
"2021-09-14",16.7,0.053,12.6,2
"2021-09-15",33.2,0.042,10.9,2.5
"2021-09-16",37.3,0.061,18.3,3.2
"2021-09-17",38,0.074,18.1,1.9
"2021-09-18",13.7,0.047,14.4,1
"2021-09-19",31.7,0.073,16.4,4.2
"2021-09-20",16.6,0.031,9.5,1.1
"2021-09-21",11.6,0.037,8.3,0.8
"2021-09-22",11.4,0.03,4.6,1.2
"2021-09-23",37.6,0.034,10.3,1.2
"2021-09-24",21.2,0.052,9.2,1.2
"2021-09-25",17.7,0.04,9.4,1
"2021-09-26",16.6,0.049,8.1,1.2
"2021-09-27",34.1,0.071,18.3,1.3
"2021-09-28",19.2,0.037,8.1,1
"2021-09-29",34.1,0.052,21.5,6.3
"2021-09-30",39.9,0.056,NA,4.8
"2021-10-01",45.9,0.07,NA,3.3
"2021-10-02",18.7,0.037,NA,1.4
"2021-10-03",29.4,0.041,NA,0.8
"2021-10-04",13.3,0.039,12.1,0.7
"2021-10-05",9.5,0.029,9.7,1
"2021-10-06",11.3,0.029,20,1.2
"2021-10-07",18.6,0.026,17.2,1.2
"2021-10-08",18.9,0.042,29.8,1.1
"2021-10-09",20.7,0.054,19.2,2.2
"2021-10-10",21.1,0.052,19,2.3
"2021-10-11",18.4,0.04,16.8,1.2
"2021-10-12",11.5,0.022,14.3,2.7
"2021-10-13",20.7,0.032,45.2,3.7
"2021-10-14",15.8,0.026,13.3,1.5
"2021-10-15",12.4,0.024,10.4,2.5
"2021-10-16",10.4,0.036,10.4,1.3
"2021-10-17",14.2,0.043,17,2.4
"2021-10-18",50.3,0.042,29.5,2.8
"2021-10-19",40.1,0.045,15.1,1.7
"2021-10-20",33.8,0.041,14.6,2
"2021-10-21",10,0.031,10.7,1.3
"2021-10-22",28.5,0.028,9,3.1
"2021-10-23",33.7,0.032,22.2,2.7
"2021-10-24",34.8,0.034,34.9,9.3
"2021-10-25",9.6,0.03,14.6,1
"2021-10-26",26.2,0.027,8,1.8
"2021-10-27",31.6,0.025,11.7,3.5
"2021-10-28",22.4,0.023,12.1,2.2
"2021-10-29",19.5,0.024,9,1.2
"2021-10-30",30.3,0.034,20,1.6
"2021-10-31",22.8,0.031,17.6,1.3
"2021-11-01",25.8,NA,7.8,1.2
"2021-11-02",30.2,NA,10,1.2
"2021-11-03",37.3,NA,11.7,4.5
"2021-11-04",43.3,NA,20.9,3.5
"2021-11-05",40.3,NA,17.9,1.9
"2021-11-06",35.9,NA,21.3,1.6
"2021-11-07",31,NA,19.4,1.7
"2021-11-08",47.8,NA,32.1,2.7
"2021-11-09",45.1,NA,42.7,3.1
"2021-11-10",35.7,NA,23.9,3.8
"2021-11-11",24.2,NA,27.9,1.7
"2021-11-12",18.5,NA,6.6,1.2
"2021-11-13",10.9,NA,8.8,0.8
"2021-11-14",11.4,NA,33.4,0.8
"2021-11-15",28.4,NA,17.3,1.1
"2021-11-16",30.1,NA,25.5,3.2
"2021-11-17",24.1,NA,18.9,1.1
"2021-11-18",9.9,NA,12.2,0
"2021-11-19",28.6,NA,12,0.4
"2021-11-20",39.7,NA,48.7,1
"2021-11-21",34.9,NA,42.5,1.1
"2021-11-22",26.7,NA,9.3,0.6
"2021-11-23",41.3,NA,28,2.4
"2021-11-24",22.4,NA,11,0.9
"2021-11-25",20,NA,13.2,0.2
"2021-11-26",26.8,NA,10,0.4
"2021-11-27",21.8,NA,12,0.9
"2021-11-28",38.4,NA,12.9,1.2
"2021-11-29",35.3,NA,18.4,1
"2021-11-30",51.6,NA,10.8,3.5
"2021-12-01",53,NA,21,3.5
"2021-12-02",39,NA,8.7,2.5
"2021-12-03",34.7,NA,12.5,3.9
"2021-12-04",25.3,NA,17.3,0.6
"2021-12-05",24.5,NA,12.1,2.1
"2021-12-06",11.7,NA,65,0.2
"2021-12-07",31.3,NA,19.5,0.8
"2021-12-08",29.2,NA,24.3,1.3
"2021-12-09",33,NA,24.4,1.2
"2021-12-10",36.7,NA,23.9,11.9
"2021-12-11",19,NA,46.4,0.5
"2021-12-12",25.9,NA,5.9,0.3
"2021-12-13",47.7,NA,27.8,3.5
"2021-12-14",46.4,NA,48.3,4.1
"2021-12-15",17.1,NA,58.7,0.8
"2021-12-16",9.1,NA,155.1,1
"2021-12-17",27.9,NA,11.4,1.5
"2021-12-18",14.6,NA,12.4,1.4
"2021-12-19",28.1,NA,13.6,0.8
"2021-12-20",26.5,NA,16.6,1.7
"2021-12-21",42.3,NA,15.5,2.9
"2021-12-22",34.6,NA,11.2,1
"2021-12-23",37.9,NA,NA,1.4
"2021-12-24",50.4,NA,NA,1.2
"2021-12-25",36.1,NA,NA,1.8
"2021-12-26",54.9,NA,NA,5.9
"2021-12-27",24,NA,NA,2.7
"2021-12-28",34.6,NA,8.5,1.3
"2021-12-29",32.3,NA,16.2,0.8
"2021-12-30",27.2,NA,22.7,2
"2021-12-31",26.2,NA,19.3,1.5
"2021-01-11",NA,NA,31.7,1.7
"2021-01-12",NA,NA,42.1,2.3
"2021-01-13",NA,NA,42.6,2.2
"2021-01-14",NA,NA,29.4,2.4
"2021-01-15",NA,NA,26,3.5
"2021-01-16",NA,NA,34.5,2.1
"2021-01-17",NA,NA,22.3,1.9
"2021-01-18",NA,NA,33.6,1.9
"2021-01-19",NA,NA,29.4,2.2
"2021-01-20",NA,NA,19.6,2.2
"2021-01-21",NA,NA,4.4,2.5
"2021-01-22",NA,NA,8.5,2.4
"2021-01-23",NA,NA,17.9,3
"2021-01-24",NA,NA,15.3,2.3
"2021-01-25",NA,NA,20.8,2.2
"2021-01-26",NA,NA,10.2,2.1
"2021-01-27",NA,NA,5.9,4.7
"2021-01-28",NA,NA,9.8,3.5
"2021-01-29",NA,NA,17.8,3.5
"2021-01-30",NA,NA,13,3
"2021-01-31",NA,NA,42,1.9
"2021-02-01",NA,NA,15.1,2.5
"2021-02-02",NA,NA,9.2,2.6
"2021-02-03",NA,NA,23.4,3.4
"2021-02-04",NA,NA,14.2,2.6
"2021-02-05",NA,NA,8.6,2.3
"2021-01-01",NA,NA,NA,2.8
"2021-01-02",NA,NA,NA,2.1
"2021-01-03",NA,NA,NA,2.4
"2021-01-04",NA,NA,NA,1.9
"2021-01-07",NA,NA,NA,1.9
"2021-01-08",NA,NA,NA,1.8
"2021-01-09",NA,NA,NA,2.5
"2021-01-10",NA,NA,NA,2.4
